 totalejemplos 6246
 total INF 3988
 total NAV 2258
 total RES 4239

 distance distManhattanINF 5615.1808983194705
 distance distManhattanNAV 3722.160566509291
 distance distManhattanRES 5615.181149071727
 
 cities, 	NAV 
 farnsworth, 	NAV 
 groomsman, 	NAV 
 timothy, 	NAV 
 400, 	NAV 
 owners, 	NAV 
 needlepoint, 	NAV 
 wedel's, 	INF 
 boca, 	INF 
 iron-away, 	NAV 
 ocean, 	INF 
 allegheny, 	INF 
 seeking, 	INF 
 six, 	RES 
 pancake, 	INF 
 allstate, 	INF 
 suny, 	INF 
 allergic, 	INF 
 smoking, 	NAV 
 stmary, 	NAV 
 antioch, 	INF 
 plains, 	NAV 
 france, 	INF 
 414, 	INF 
 customs, 	NAV 
 pinball, 	INF 
 2nd, 	INF 
 rihanna, 	NAV 
 embassy, 	INF 
 verizon, 	INF 
 traditional, 	NAV 
 boat, 	INF 
 soda, 	INF 
 shu, 	INF 
 history, 	NAV 
 wilderness, 	INF 
 sin, 	INF 
 background, 	INF 
 hannah, 	NAV 
 conceive, 	INF 
 anal, 	INF 
 bound, 	INF 
 topper, 	INF 
 body, 	NAV 
 blacks, 	NAV 
 impossible, 	NAV 
 salsa, 	INF 
 cleveland, 	NAV 
 lullabye, 	INF 
 butte, 	INF 
 reaching, 	NAV 
 myeloid, 	INF 
 baric, 	NAV 
 paying, 	NAV 
 light, 	NAV 
 key, 	INF 
 ages, 	INF 
 eagel, 	INF 
 airboat, 	INF 
 northgate, 	NAV 
 roddick, 	INF 
 insulin, 	NAV 
 german, 	NAV 
 meyers, 	NAV 
 script, 	NAV 
 agent, 	NAV 
 executive, 	NAV 
 oral, 	NAV 
 saddle, 	INF 
 better, 	INF 
 against, 	NAV 
 bible, 	NAV 
 walk, 	INF 
 wall, 	NAV 
 sex, 	NAV 
 saying, 	INF 
 portopalo, 	INF 
 vice, 	INF 
 department, 	NAV 
 set, 	INF 
 sfa, 	INF 
 a&m, 	NAV 
 enhance, 	INF 
 tiles, 	INF 
 kci, 	NAV 
 wake, 	INF 
 alpha, 	INF 
 vida, 	NAV 
 communication, 	INF 
 society, 	INF 
 335i, 	INF 
 funny, 	NAV 
 sea, 	NAV 
 andy, 	INF 
 seams, 	INF 
 m&m, 	NAV 
 bridal, 	INF 
 deepak, 	INF 
 see, 	INF 
 wedding, 	NAV 
 davidson, 	NAV 
 suit, 	NAV 
 passport, 	NAV 
 visas, 	NAV 
 william, 	INF 
 enuff, 	INF 
 they, 	INF 
 sexi, 	INF 
 recipe, 	NAV 
 jigsaw, 	NAV 
 fele, 	NAV 
 m3x, 	NAV 
 spo, 	NAV 
 actor, 	NAV 
 council, 	INF 
 birds, 	INF 
 renaissance, 	INF 
 sexy, 	NAV 
 terry, 	INF 
 internship, 	INF 
 weekend, 	INF 
 buyer, 	NAV 
 rented, 	INF 
 skinned, 	INF 
 knives, 	NAV 
 auditorium, 	INF 
 spa, 	INF 
 pigeon, 	NAV 
 programs, 	NAV 
 lesson, 	NAV 
 structure, 	INF 
 amino, 	INF 
 church, 	NAV 
 soy, 	INF 
 akcija, 	NAV 
 son, 	NAV 
 steps, 	NAV 
 raccoon, 	INF 
 thinkpad, 	NAV 
 terra, 	NAV 
 sod, 	NAV 
 sculpture, 	NAV 
 russian, 	INF 
 erie, 	INF 
 them, 	INF 
 endmills, 	INF 
 eric, 	NAV 
 children's, 	INF 
 alphabet, 	INF 
 records, 	NAV 
 villanueva, 	INF 
 satellite, 	INF 
 scott, 	NAV 
 occupational, 	NAV 
 marinade, 	NAV 
 raised, 	INF 
 gospel, 	NAV 
 skank, 	INF 
 pictures, 	NAV 
 chicopee, 	NAV 
 highland, 	INF 
 hawaiian, 	NAV 
 st., 	INF 
 chapelle, 	NAV 
 striped, 	INF 
 cooking, 	INF 
 clinical, 	INF 
 fein, 	INF 
 denture, 	INF 
 cushman, 	INF 
 polar, 	INF 
 birch, 	INF 
 scout, 	INF 
 jockey, 	INF 
 bombs, 	INF 
 scholarship, 	NAV 
 prejudice, 	INF 
 stern, 	INF 
 it's, 	NAV 
 crimping, 	INF 
 sued, 	NAV 
 hunter, 	NAV 
 mckinney, 	NAV 
 triangle, 	INF 
 don's, 	INF 
 design, 	INF 
 barrs, 	INF 
 payless, 	INF 
 replacement, 	INF 
 cause, 	INF 
 second, 	NAV 
 spotting, 	NAV 
 equity, 	INF 
 adhesive, 	INF 
 taupe, 	INF 
 permit, 	NAV 
 study, 	NAV 
 chat, 	INF 
 atlanta, 	INF 
 middle, 	NAV 
 bonethugs-n-harmony, 	INF 
 obituaries, 	NAV 
 sky, 	INF 
 hardcore, 	NAV 
 centurion, 	INF 
 parish, 	INF 
 blessid, 	INF 
 camps, 	NAV 
 arctic, 	INF 
 comfortpedic, 	INF 
 ski, 	NAV 
 november, 	NAV 
 freegames, 	INF 
 chiropractic, 	NAV 
 suck, 	INF 
 offering, 	INF 
 favorites, 	INF 
 heterozygous, 	INF 
 rental, 	NAV 
 league, 	NAV 
 academy, 	INF 
 terrace, 	INF 
 ottsville, 	NAV 
 mother, 	NAV 
 chciago, 	INF 
 mattress, 	NAV 
 ibew, 	NAV 
 lamar, 	INF 
 this, 	NAV 
 release, 	INF 
 mining, 	INF 
 bamboo, 	INF 
 celsius, 	INF 
 sno, 	INF 
 gibson, 	NAV 
 decker, 	INF 
 bangor, 	INF 
 cheese, 	NAV 
 adverse, 	INF 
 online, 	NAV 
 steve, 	INF 
 real, 	NAV 
 scoop, 	INF 
 lugares, 	NAV 
 read, 	NAV 
 stevens, 	NAV 
 stuck, 	INF 
 colored, 	INF 
 stucs, 	INF 
 goddesses, 	NAV 
 huntington's, 	NAV 
 coach, 	INF 
 esteem, 	NAV 
 rear, 	INF 
 smv, 	INF 
 jeffreys, 	NAV 
 kulalani, 	NAV 
 nike, 	NAV 
 reception, 	NAV 
 missouri, 	NAV 
 pamela, 	INF 
 wrong, 	NAV 
 runner, 	INF 
 hugger, 	NAV 
 skins, 	INF 
 guide, 	NAV 
 vineyard, 	INF 
 samantha, 	INF 
 albany, 	INF 
 stickers, 	INF 
 wellesley, 	INF 
 quail, 	INF 
 lucie, 	INF 
 packaging, 	INF 
 snow, 	NAV 
 hyundai, 	INF 
 points, 	NAV 
 invitation, 	INF 
 brain, 	INF 
 chilean, 	INF 
 avalanche, 	INF 
 turn, 	INF 
 monster, 	INF 
 24, 	INF 
 dillsburg, 	NAV 
 26, 	NAV 
 27, 	INF 
 pointe, 	INF 
 bord, 	NAV 
 30, 	INF 
 49ers, 	INF 
 crime, 	NAV 
 harvard, 	NAV 
 goldeneye, 	NAV 
 shower, 	NAV 
 ways, 	INF 
 born, 	NAV 
 myspacecom, 	NAV 
 daughter, 	NAV 
 17, 	INF 
 18, 	INF 
 northwest, 	NAV 
 16, 	INF 
 13, 	NAV 
 14, 	INF 
 differences, 	INF 
 11, 	INF 
 phila., 	INF 
 21, 	INF 
 20, 	INF 
 vulcan, 	NAV 
 t-shirt, 	NAV 
 civil, 	NAV 
 seeds, 	INF 
 vermillion, 	INF 
 bragg, 	NAV 
 soccer, 	NAV 
 clarinex, 	INF 
 direct, 	INF 
 dolls, 	NAV 
 reef, 	INF 
 03, 	INF 
 combined, 	INF 
